protest,sexism,anger,liking,respappr
2,4.87,2,4.83,4.25
0,4.25,1,4.5,5.75
2,5,3,5.5,4.75
2,5.5,1,5.66,7
2,5.62,1,6.16,6.75
1,5.75,1,6,5.5
2,5.12,2,4.66,5
0,6.62,1,6.5,6.25
0,5.75,6,1,3
0,4.62,1,6.83,5.75
2,4.75,2,5,5.25
2,6.12,5,5.66,7
0,4.87,2,5.83,4.5
1,5.87,1,6.5,6.25
1,4.87,1,4.5,5
0,4.62,1,4.83,5.25
1,4.5,2,6.16,5.25
2,5.5,1,4.33,5
2,4.25,3,4.83,4.5
1,4.25,4,5,6
2,5.25,1,6.5,5.75
1,5,1,7,6
1,5.75,1,5.33,5.25
2,2.87,5,5.5,4.75
2,5.5,1,7,6.5
0,5.5,5,5.5,1.75
1,4.62,1,5,5
1,4.37,1,6.83,4.75
0,4.37,2,4.83,4.25
1,5.62,1,6.66,6.75
1,5.12,1,6,6
1,4.37,1,6.33,4.75
0,4.75,4,5.33,1.75
2,4.62,1,5.5,4.75
1,5.12,2,5.83,5.75
2,4.5,6,5.83,5.5
2,5.37,1,6.83,5.5
2,4.75,1,5.5,6.25
1,4.87,2,5.33,5.25
0,5.12,1,5.33,5.75
2,5.37,1,7,6.25
2,4,1,4.83,4.25
0,5.62,1,6.16,5.5
0,4.25,5,5.5,2.5
0,6.37,4,4.83,2
1,5.25,2,6.33,6
0,6,4,6,3.5
2,4.62,1,5.16,5.25
1,4.37,2,5.83,5.25
2,6.12,1,7,5.75
2,3.62,1,6.33,6
1,6,1,6.33,6.25
1,7,1,6.33,6.75
1,5.87,2,5.66,5.5
0,5.5,1,5.33,5
0,5.12,6,5.5,3
2,3.75,1,4.66,3.75
1,5.25,4,4.66,4
1,3.87,3,3.83,2.5
1,5.5,1,6.83,4.5
1,6.37,1,6.83,5.75
2,5.25,1,7,6.5
1,5.5,1,5.16,5
0,4,1,6.83,4.75
1,5.87,2,6.33,6.5
2,4.87,1,5.5,5.75
1,4.87,1,6.66,5.5
1,3.5,2,5.16,5.25
2,4.12,1,6.33,5.5
0,5.5,1,4.16,5
0,4,2,6,4.75
2,5.12,1,6.5,6.25
1,4.62,1,6.33,6.5
0,5.87,6,3.66,2.5
0,5,5,5.16,4
1,4.87,2,4.16,1.75
2,5.75,1,5.83,5.25
0,5.25,5,5.16,2.25
0,4.75,1,7,1.5
2,4.37,4,4,3.5
2,4.5,1,6.5,6.25
0,4.12,1,6.5,4.5
1,6.5,1,6.33,4.25
0,6.5,1,7,3.25
2,4,2,5.66,5.75
2,4.25,1,6.5,6.5
1,4.75,2,5.66,3.25
1,5.5,2,5.66,5.75
1,4.75,1,6.33,4.5
0,4.25,2,5.83,3.5
1,6,1,6.66,5.5
2,4.5,3,5.16,5.75
1,5.75,1,5,5
0,4.25,5,5,6
1,4.62,1,4.5,5
1,5.62,5,5.16,4.5
2,5,6,6.83,6.5
0,6.5,7,2.33,1.5
0,5.12,5,5.33,3
0,5.62,1,6.66,5.25
2,5.5,1,7,7
1,6.5,2,6,5.25
1,4.25,1,5.66,5.5
2,6,1,6.5,6
0,4.25,1,4.83,3.5
0,4.75,5,6.5,4
2,4.75,1,3.66,5.25
2,6,1,6,4
2,4.5,2,6,5.75
2,6.25,1,7,3.75
2,6.62,1,5,5
0,4.5,4,4.5,2.75
0,4.62,5,4.5,3.25
2,5.75,1,5.83,6.25
2,5.12,2,4.5,5.75
2,5.37,4,4,3.75
1,6.37,1,7,6.5
0,6.37,6,4.66,1.75
0,4.75,2,6.16,5.75
2,5,1,7,6
0,4.12,1,7,6
0,5.87,6,2.33,2.75
2,7,1,6.33,5.5
1,5.5,1,6.83,4
0,5,2,6.16,5
0,4.37,5,4.66,2.5
0,5.25,1,6,4.75
1,5.25,1,4.83,4.25
1,5.37,1,6,3.5
